Date,S&P 500,EA,TTWO,ATVI
1980-01-02,105.76,,,
1980-01-03,105.22,,,
1980-01-04,106.52,,,
1980-01-07,106.81,,,
1980-01-08,108.95,,,
1980-01-09,109.05,,,
1980-01-10,109.89,,,
1980-01-11,109.92,,,
1980-01-14,110.38,,,
1980-01-15,111.14,,,
1980-01-16,111.05,,,
1980-01-17,110.7,,,
1980-01-18,111.07,,,
1980-01-21,112.1,,,
1980-01-22,111.51,,,
1980-01-23,113.44,,,
1980-01-24,113.7,,,
1980-01-25,113.61,,,
1980-01-28,114.85,,,
1980-01-29,114.07,,,
1980-01-30,115.2,,,
1980-01-31,114.16,,,
1980-02-01,115.12,,,
1980-02-04,114.37,,,
1980-02-05,114.66,,,
1980-02-06,115.72,,,
1980-02-07,116.28,,,
1980-02-08,117.95,,,
1980-02-11,117.12,,,
1980-02-12,117.9,,,
1980-02-13,118.44,,,
1980-02-14,116.72,,,
1980-02-15,115.41,,,
1980-02-19,114.6,,,
1980-02-20,116.47,,,
1980-02-21,115.28,,,
1980-02-22,115.04,,,
1980-02-25,113.33,,,
1980-02-26,113.98,,,
1980-02-27,112.38,,,
1980-02-28,112.35,,,
1980-02-29,113.66,,,
1980-03-03,112.5,,,
1980-03-04,112.78,,,
1980-03-05,111.13,,,
1980-03-06,108.65,,,
1980-03-07,106.9,,,
1980-03-10,106.51,,,
1980-03-11,107.78,,,
1980-03-12,106.87,,,
1980-03-13,105.62,,,
1980-03-14,105.43,,,
1980-03-17,102.26,,,
1980-03-18,104.1,,,
1980-03-19,104.31,,,
1980-03-20,103.12,,,
1980-03-21,102.31,,,
1980-03-24,99.28,,,
1980-03-25,99.19,,,
1980-03-26,98.68,,,
1980-03-27,98.22,,,
1980-03-28,100.68,,,
1980-03-31,102.09,,,
1980-04-01,102.18,,,
1980-04-02,102.68,,,
1980-04-03,102.15,,,
1980-04-07,100.19,,,
1980-04-08,101.2,,,
1980-04-09,103.11,,,
1980-04-10,104.08,,,
1980-04-11,103.79,,,
1980-04-14,102.84,,,
1980-04-15,102.63,,,
1980-04-16,101.54,,,
1980-04-17,101.05,,,
1980-04-18,100.55,,,
1980-04-21,99.8,,,
1980-04-22,103.43,,,
1980-04-23,103.73,,,
1980-04-24,104.4,,,
1980-04-25,105.16,,,
1980-04-28,105.64,,,
1980-04-29,105.86,,,
1980-04-30,106.29,,,
1980-05-01,105.46,,,
1980-05-02,105.58,,,
1980-05-05,106.38,,,
1980-05-06,106.25,,,
1980-05-07,107.18,,,
1980-05-08,106.13,,,
1980-05-09,104.72,,,
1980-05-12,104.78,,,
1980-05-13,106.3,,,
1980-05-14,106.85,,,
1980-05-15,106.99,,,
1980-05-16,107.35,,,
1980-05-19,107.67,,,
1980-05-20,107.62,,,
1980-05-21,107.72,,,
1980-05-22,109.01,,,
1980-05-23,110.62,,,
1980-05-27,111.4,,,
1980-05-28,112.06,,,
1980-05-29,110.27,,,
1980-05-30,111.24,,,
1980-06-02,110.76,,,
1980-06-03,110.51,,,
1980-06-04,112.61,,,
1980-06-05,112.78,,,
1980-06-06,113.2,,,
1980-06-09,113.71,,,
1980-06-10,114.66,,,
1980-06-11,116.02,,,
1980-06-12,115.52,,,
1980-06-13,115.81,,,
1980-06-16,116.09,,,
1980-06-17,116.03,,,
1980-06-18,116.26,,,
1980-06-19,114.66,,,
1980-06-20,114.06,,,
1980-06-23,114.51,,,
1980-06-24,115.14,,,
1980-06-25,116.72,,,
1980-06-26,116.19,,,
1980-06-27,116.0,,,
1980-06-30,114.24,,,
1980-07-01,114.93,,,
1980-07-02,115.68,,,
1980-07-03,117.46,,,
1980-07-07,118.29,,,
1980-07-08,117.84,,,
1980-07-09,117.98,,,
1980-07-10,116.95,,,
1980-07-11,117.84,,,
1980-07-14,120.01,,,
1980-07-15,119.3,,,
1980-07-16,119.63,,,
1980-07-17,121.44,,,
1980-07-18,122.04,,,
1980-07-21,122.51,,,
1980-07-22,122.19,,,
1980-07-23,121.93,,,
